order_id_surrogate,order_id,customer_id,order_date,campaign_id,amount,payment_method_id
190,190,441,2016-11-24,,10710,1
191,191,210,2022-11-19,,12053,5
192,192,81,2018-02-08,2,15053,3
193,193,189,2021-01-04,1,2894,5
194,194,133,2021-07-11,4,42513,1
195,195,415,2022-04-05,,21971,2
196,196,473,2022-02-01,16,26568,3
197,197,76,2019-08-18,,12835,5
198,198,69,2021-04-14,,29167,2
199,199,405,2017-02-03,16,11788,4
200,200,402,2019-03-21,,6218,1
201,201,164,2016-03-10,,26304,5
202,202,229,2022-04-17,,24775,4
203,203,260,2020-04-02,,6334,5
204,204,109,2020-02-29,,2201,2
205,205,9,2018-05-08,12,12693,5
206,206,169,2016-09-21,,43207,4
207,207,409,2017-06-16,13,34671,2
208,208,479,2022-05-11,12,5788,2
209,209,297,2019-08-31,,4112,2
210,210,52,2016-10-31,5,37935,5
211,211,443,2018-10-17,,10630,1
212,212,64,2022-05-16,,2820,5
213,213,309,2022-11-12,,7520,1
214,214,436,2019-12-21,,19655,1
215,215,104,2017-07-01,,36388,3
216,216,442,2018-07-13,,32033,5
217,217,365,2019-04-16,3,15488,3
218,218,91,2021-09-22,,35173,4
219,219,133,2017-05-14,12,7629,4
220,220,427,2022-05-28,9,13033,3
221,221,139,2016-04-16,,16409,2
222,222,251,2016-05-21,,2050,3
223,223,273,2022-12-30,7,27779,1
224,224,337,2016-08-10,,5486,5
225,225,456,2020-09-24,,2535,2
226,226,248,2016-12-08,11,8900,3
227,227,176,2018-09-03,8,8175,5
228,228,250,2019-08-26,,19480,5
229,229,196,2021-04-19,3,2601,2
230,230,345,2019-05-20,9,16476,4
231,231,39,2017-12-12,,33820,3
232,232,193,2019-01-10,,24614,2
233,233,164,2016-09-27,,10750,2
234,234,407,2022-10-02,,4997,5
235,235,339,2019-12-06,11,34316,3
236,236,498,2019-04-24,,9144,4
237,237,468,2022-04-03,,32502,3
238,238,437,2022-05-22,,18415,3
239,239,331,2018-02-05,2,12070,4
240,240,359,2019-08-03,,23864,5
241,241,95,2021-03-23,,13305,3
242,242,204,2020-06-12,13,15146,3
243,243,243,2022-09-27,,26672,1
244,244,83,2016-08-15,,1074,2
245,245,305,2016-03-09,,5729,5
246,246,371,2016-11-04,5,19619,3
247,247,385,2022-06-27,,12388,5
248,248,202,2021-03-01,,13575,5
249,249,306,2018-10-27,,4497,1
250,250,363,2019-03-18,,28136,3
251,251,27,2020-02-16,,8269,4
252,252,31,2020-02-05,2,9927,2
253,253,277,2019-03-17,,9655,1
254,254,140,2020-04-16,3,11420,3
255,255,273,2020-02-21,,9329,2
256,256,5,2016-04-08,,5135,1
257,257,354,2020-02-02,16,13064,1
258,258,410,2021-04-25,3,2543,1
259,259,238,2020-11-17,,21762,3
260,260,271,2019-06-10,13,4087,2
261,261,365,2017-02-26,,11692,2
262,262,81,2018-07-08,4,8476,5
263,263,365,2020-06-09,13,19813,2
264,264,138,2018-10-18,,49550,2
265,265,214,2022-10-25,,4500,4
266,266,280,2018-07-08,4,21096,2
267,267,221,2018-05-21,9,12345,4
268,268,4,2022-12-27,7,20708,1
269,269,282,2016-05-16,,12980,5
270,270,346,2019-03-23,,11139,5
271,271,476,2016-07-15,,7167,5
272,272,428,2018-08-22,14,31504,4
273,273,309,2022-06-15,13,10267,3
274,274,177,2019-03-02,,16451,3
275,275,420,2021-01-21,,32779,2
276,276,320,2017-03-11,,2745,5
277,277,118,2016-09-20,,19250,2
278,278,135,2019-02-11,,1341,2
279,279,395,2021-06-03,,24089,4
280,280,436,2018-11-26,6,13451,1
281,281,93,2019-08-07,,16955,3
282,282,429,2018-10-05,,21129,5
283,283,100,2019-07-22,,2791,3
284,284,259,2016-02-11,2,22884,2
285,285,244,2021-01-16,,14446,4
286,286,288,2016-11-15,,16757,5
287,287,317,2017-09-06,8,6605,3
288,288,281,2020-03-06,,21641,2
289,289,179,2018-11-10,,27747,4
290,290,144,2017-02-17,,11222,5
291,291,116,2018-12-03,11,3051,2
292,292,238,2018-07-14,,2999,2
293,293,47,2017-02-11,2,22011,4
294,294,348,2019-09-26,,26565,1
295,295,72,2019-05-04,,20553,3
296,296,361,2019-02-22,,5385,5
297,297,224,2016-04-10,,17658,1
298,298,247,2016-09-26,,22895,1
299,299,315,2020-09-20,,2688,5
300,300,340,2018-05-14,,22244,5
301,301,214,2018-04-16,3,539,3
302,302,59,2020-08-15,,13633,5
303,303,337,2022-01-04,1,37152,3
304,304,61,2018-10-25,,15167,2
305,305,102,2017-02-14,,20527,4
306,306,423,2022-02-19,,5999,4
307,307,283,2018-03-12,,7502,3
308,308,426,2022-06-03,,16197,4
309,309,231,2018-06-08,,23873,4
310,310,199,2016-02-24,,7124,3
311,311,1,2021-05-29,9,2834,4
312,312,418,2020-02-27,,8464,3
313,313,423,2017-04-12,,24734,2
314,314,299,2018-10-21,,6094,3
315,315,184,2018-04-12,,24016,5
316,316,272,2022-08-04,,12038,3
317,317,385,2020-01-31,16,994,2
318,318,242,2021-06-08,,15179,4
319,319,355,2022-12-29,7,17974,2
320,320,446,2017-01-07,1,21429,5
321,321,254,2019-02-01,16,3356,3
322,322,58,2020-08-07,,7010,3
323,323,81,2019-11-20,,14029,5
324,324,379,2017-08-30,,34085,3
325,325,291,2020-02-16,,23350,4
326,326,235,2022-08-28,14,14781,5
327,327,325,2016-09-08,8,36416,2
328,328,69,2019-01-14,,9228,1
329,329,455,2016-06-09,,17462,1
330,330,410,2020-01-14,,19173,2
331,331,240,2017-07-02,,8474,5
332,332,238,2017-03-02,,34865,3
333,333,388,2018-10-07,,14230,1
334,334,396,2017-09-27,,17339,1
335,335,438,2022-10-25,,9317,3
336,336,385,2021-03-21,,2646,5
337,337,96,2017-02-17,,16539,2
338,338,13,2022-01-14,,15649,3
339,339,122,2016-04-23,3,9323,5
340,340,442,2018-07-28,,1128,1
341,341,297,2018-11-16,,11673,1
342,342,168,2020-04-21,,6936,2
343,343,398,2020-11-14,,17821,5
344,344,348,2017-02-09,2,7677,3
345,345,55,2019-08-24,14,20933,5
346,346,56,2021-02-15,,22417,3
347,347,74,2020-06-02,,18166,2
348,348,434,2017-11-29,6,31224,2
349,349,71,2021-05-02,,27530,2
350,350,422,2019-11-13,,34065,2
351,351,273,2020-04-07,,9778,4
352,352,370,2017-04-22,3,27114,1
353,353,137,2021-06-28,,6029,1
354,354,454,2018-02-23,,28583,1
355,355,397,2022-05-11,12,12256,2
356,356,150,2020-11-13,,7108,2
357,357,31,2020-12-15,,24341,1
358,358,152,2021-11-30,6,8061,3
359,359,230,2022-05-14,12,168,2
360,360,457,2016-12-24,,1417,2
361,361,219,2019-10-07,,30253,3
362,362,215,2020-06-05,,26905,5
363,363,127,2020-05-03,,341,1
364,364,202,2019-09-24,,18807,2
365,365,166,2018-01-27,,16127,3
366,366,312,2019-12-04,11,19590,1
367,367,220,2021-06-16,13,7384,2
368,368,132,2016-10-26,,35786,3
369,369,104,2019-06-28,,14268,5
370,370,27,2016-12-30,7,7643,5
371,371,286,2018-03-09,,42636,5
372,372,71,2017-07-15,,24096,1
373,373,356,2020-05-07,12,36929,3
374,374,294,2018-09-14,,4523,5
375,375,79,2016-01-07,1,20745,2
376,376,221,2018-04-15,,13918,3
377,377,321,2021-11-25,,738,2
378,378,133,2021-03-21,,7689,2
379,379,451,2020-04-18,3,9272,3
380,380,349,2016-12-24,,3150,4
381,381,128,2016-03-04,,22553,3
382,382,253,2017-09-25,,10000,3
383,383,133,2016-12-28,7,17428,2
384,384,280,2021-07-29,,12201,5
385,385,288,2019-12-12,,23217,3
386,386,441,2020-05-30,,10316,3
387,387,320,2017-04-03,,33834,1
388,388,279,2020-10-09,,21378,4
389,389,158,2017-01-12,,16795,1
390,390,367,2019-07-27,,22590,5
391,391,263,2020-08-11,,26313,2
392,392,353,2021-02-15,,27509,2
393,393,340,2016-09-04,,3433,1
394,394,6,2017-01-01,7,14366,1
395,395,483,2020-06-24,,3736,5
396,396,46,2022-08-31,,18045,1
397,397,297,2022-11-06,5,13848,4
398,398,20,2022-04-17,,5217,5
399,399,370,2016-03-09,,29246,5
400,400,423,2020-09-21,,15634,4
401,401,292,2019-06-01,,28295,2
402,402,89,2019-06-08,,16823,2
403,403,230,2020-10-02,,37081,1
404,404,456,2020-05-11,,1833,5
405,405,440,2017-01-30,16,19519,3
406,406,69,2016-06-05,,10782,5
407,407,59,2022-07-08,4,8829,3
408,408,192,2021-04-26,,5167,5
409,409,288,2016-03-16,,314,3
410,410,37,2021-12-24,,12880,4
411,411,468,2016-07-09,4,21400,3
412,412,314,2017-09-14,,28704,3
413,413,3,2022-08-28,14,18434,1
414,414,212,2016-06-04,,21600,3
415,415,138,2016-02-24,,20716,5
416,416,335,2019-11-07,,16686,2
417,417,242,2016-08-14,,3038,3
418,418,295,2020-03-27,,31025,4
419,419,4,2016-03-14,,19266,3
420,420,464,2018-04-03,,18052,2
421,421,374,2018-01-09,,4720,2
422,422,252,2018-06-22,15,9234,5
423,423,186,2019-11-02,5,15313,5
424,424,435,2020-08-20,14,22236,1
425,425,254,2022-01-04,1,27448,1
426,426,191,2018-10-12,,15732,1
427,427,252,2020-07-23,,21460,4
428,428,121,2018-01-26,,15827,1
429,429,489,2020-04-01,,6673,1
430,430,93,2016-12-03,6,25739,5
431,431,129,2020-11-03,,16971,5
432,432,498,2019-03-30,,7913,2
433,433,292,2022-04-15,,6165,4
434,434,448,2016-12-05,11,13830,1
435,435,209,2016-04-08,,33349,5
436,436,113,2021-11-03,5,21860,1
437,437,263,2018-06-13,13,10131,5
438,438,190,2022-08-06,,21971,5
439,439,363,2021-10-07,,8654,3
440,440,368,2022-09-25,,12271,1
441,441,377,2016-12-18,,17279,3
442,442,104,2019-04-27,,3450,5
443,443,216,2017-12-18,,9143,5
444,444,264,2019-02-07,2,14401,4
445,445,365,2019-01-13,,21837,3
446,446,475,2019-03-09,,31801,4
447,447,210,2017-03-14,,8166,1
448,448,424,2019-03-09,,20513,4
449,449,95,2022-09-12,,23946,4
450,450,166,2017-02-03,16,20348,2
451,451,174,2017-06-01,,12441,1
452,452,346,2017-12-13,,22263,5
453,453,369,2018-04-13,,9723,2
454,454,124,2021-08-28,14,15140,3
455,455,298,2019-11-18,,17682,4
456,456,414,2022-01-04,1,17137,2
457,457,128,2018-01-14,,27506,4
458,458,112,2022-10-31,5,37642,4
459,459,231,2022-11-19,,10956,4
460,460,450,2022-09-07,8,11796,4
461,461,394,2018-08-02,,26963,3
462,462,7,2019-04-19,3,1319,3
463,463,308,2020-09-28,,4437,3
464,464,319,2016-09-27,,37879,5
465,465,254,2021-08-24,14,17993,4
466,466,377,2020-05-22,9,5898,3
467,467,327,2019-11-18,,32240,1
468,468,136,2020-05-06,12,22163,5
469,469,137,2019-10-17,,14432,3
470,470,446,2018-06-06,,6916,3
471,471,274,2018-06-21,15,4799,2
472,472,408,2018-08-10,,301,1
473,473,158,2019-05-12,12,15519,2
474,474,157,2018-07-13,,1654,1
475,475,324,2020-02-16,,16767,3
476,476,108,2016-06-07,,15756,3
477,477,98,2018-04-25,,19894,1
478,478,343,2020-02-09,2,11896,4
479,479,308,2017-04-09,,9125,2
480,480,450,2021-07-14,,1635,3
481,481,401,2022-03-22,,43418,2
482,482,455,2018-03-31,,18292,5
483,483,223,2018-07-01,,1831,4
484,484,1,2021-03-21,,11185,5
485,485,146,2018-06-29,,12564,1
486,486,275,2018-09-24,,29926,4
487,487,186,2020-05-24,9,10795,1
488,488,51,2016-02-29,,10413,2
489,489,485,2019-02-16,,29100,4
490,490,191,2016-11-04,5,5220,5
491,491,494,2022-09-23,,11354,5
492,492,163,2020-04-19,3,31859,1
493,493,491,2021-11-04,5,10772,1
494,494,260,2021-11-13,,15642,3
495,495,116,2019-12-11,,15314,5
496,496,166,2021-01-15,,9948,2
497,497,106,2017-04-01,,18798,3
498,498,490,2019-07-12,,5010,4
499,499,316,2019-02-11,,5409,2
500,500,124,2022-11-05,5,23562,4
501,501,407,2016-01-23,,24874,5
502,502,453,2020-09-03,8,335,4
503,503,151,2017-03-09,,4415,3
504,504,461,2021-06-23,15,10005,3
505,505,29,2017-03-11,,21866,1
506,506,207,2019-02-11,,12652,2
507,507,361,2022-08-06,,22810,4
508,508,160,2022-12-15,,9128,3
509,509,109,2022-11-05,5,6441,4
510,510,351,2017-03-02,,24351,4
511,511,107,2016-09-02,,8829,3
512,512,83,2016-01-14,,4019,5
513,513,25,2017-01-14,,2,4
514,514,87,2018-04-17,3,31406,2
515,515,289,2017-02-01,16,29131,2
516,516,341,2020-02-24,,19932,2
517,517,3,2020-01-03,1,2047,3
518,518,45,2019-01-03,1,9224,4
519,519,53,2017-01-31,16,1909,4
520,520,304,2022-09-01,,6667,4
521,521,459,2019-08-09,,2749,5
522,522,419,2022-03-17,,11594,5
523,523,446,2016-01-28,,942,1
524,524,491,2022-03-13,,18410,5
525,525,435,2016-08-08,,12384,2
526,526,292,2022-02-03,16,14485,2
527,527,432,2020-08-17,14,32015,5
528,528,294,2020-08-08,,40564,3
529,529,69,2022-11-24,,10127,3
530,530,212,2020-12-02,11,14166,3
531,531,470,2020-07-25,,22014,5
532,532,17,2022-12-06,11,21424,3
533,533,477,2017-08-01,,9820,5
534,534,474,2017-02-14,,31951,1
535,535,486,2018-08-03,,1202,5
536,536,190,2019-04-29,,16025,5
537,537,255,2018-01-08,,1932,1
538,538,135,2021-04-28,,3403,5
539,539,447,2016-01-13,,14131,4
540,540,458,2021-05-31,,17371,3
541,541,151,2022-10-09,,26378,3
542,542,305,2016-02-10,2,15769,3
543,543,88,2016-02-11,2,21962,5
544,544,321,2022-12-02,6,37520,4
545,545,63,2021-11-27,,21593,2
546,546,269,2021-10-13,,18036,1
547,547,411,2018-07-23,,20346,5
548,548,265,2017-04-21,3,24318,3
549,549,128,2017-11-04,5,4563,2
550,550,378,2018-06-12,13,21520,3
551,551,213,2021-01-16,,17069,1
552,552,404,2019-07-19,,1715,2
553,553,9,2017-03-31,,28497,3
554,554,242,2018-02-08,2,4847,1
555,555,471,2022-08-10,,17346,4
556,556,76,2018-09-30,,19610,2
557,557,402,2018-09-17,,2500,1
558,558,283,2022-07-09,4,4994,4
559,559,462,2016-10-27,,13851,2
560,560,465,2021-05-30,9,7622,5
561,561,432,2021-10-01,,13156,4
562,562,9,2022-03-10,,16100,3
563,563,82,2020-12-31,,1659,4
564,564,197,2016-04-22,3,8066,4
565,565,66,2022-01-16,,12189,3
566,566,145,2017-11-04,5,38164,4
567,567,354,2020-10-16,,11707,4
568,568,432,2016-09-17,,5012,3
569,569,92,2016-05-02,,30796,1
570,570,144,2019-09-30,,3283,1
571,571,334,2017-10-11,,12243,2
572,572,222,2021-11-18,,29042,4
573,573,453,2017-01-29,,398,1
574,574,27,2017-02-15,,24608,1
575,575,298,2021-05-21,,17670,4
576,576,219,2018-02-25,,14001,2
577,577,150,2020-02-28,,6189,2
578,578,146,2016-10-22,,1404,3
579,579,303,2016-04-01,,18366,4
580,580,301,2019-08-17,,1223,3
581,581,392,2020-02-15,,19683,4
582,582,178,2016-12-25,,11930,3
583,583,377,2017-12-30,7,700,2
584,584,200,2019-12-13,,30711,5
585,585,44,2016-10-29,,24797,1
586,586,170,2017-10-15,,12538,5
587,587,102,2019-12-21,,27218,4
588,588,199,2020-08-23,14,22110,5
589,589,263,2019-03-06,,28142,1
590,590,374,2019-03-07,,11360,1
591,591,410,2020-09-02,8,20011,4
592,592,225,2021-08-04,,9280,3
593,593,189,2018-10-25,,3141,5
594,594,427,2017-10-13,,4382,5
595,595,262,2018-06-24,15,20249,1
596,596,5,2017-10-16,,5545,1
597,597,150,2016-08-17,,11937,4
598,598,301,2018-09-23,,19987,5
599,599,408,2017-06-23,15,10627,3
600,600,10,2021-07-18,,36338,4
601,601,298,2019-10-11,,7199,5
602,602,422,2020-04-04,,42222,4
603,603,158,2016-06-04,,16150,5
604,604,83,2017-08-16,,21285,4
605,605,125,2016-10-23,,30770,5
606,606,215,2022-07-26,,24876,1
607,607,430,2016-07-28,,37451,4
608,608,417,2018-07-12,,14309,5
609,609,166,2017-08-26,14,13774,2
610,610,70,2017-10-07,,12999,2
611,611,152,2019-10-30,5,23865,1
612,612,241,2016-09-06,8,24561,1
613,613,22,2022-05-02,,18592,3
614,614,411,2021-03-11,,15807,5
615,615,371,2021-04-23,3,12758,4
616,616,465,2018-09-30,,3060,3
617,617,393,2020-09-22,,1691,1
618,618,186,2017-12-18,,3217,3
619,619,209,2022-08-27,14,3429,4
620,620,462,2020-10-09,,28199,3
621,621,211,2017-07-01,,29018,4
622,622,337,2020-02-13,,24298,5
623,623,129,2021-10-06,,22319,1
624,624,294,2016-12-24,,14341,2
625,625,410,2021-06-12,,10427,5
626,626,459,2018-11-12,,18922,3
627,627,429,2019-02-15,,7432,2
628,628,358,2017-10-20,,31769,2
629,629,484,2017-11-14,,15768,2
630,630,301,2019-01-02,1,41443,3
631,631,29,2016-12-16,,2532,3
632,632,257,2021-04-04,,12585,4
633,633,140,2018-06-20,15,18903,4
634,634,271,2022-07-26,,26456,1
635,635,226,2019-04-26,,15809,2
636,636,142,2021-03-09,,7573,5
637,637,82,2018-10-05,,5665,1
638,638,498,2019-08-03,,17711,3
639,639,240,2019-06-04,,8318,3
640,640,284,2016-10-31,5,12132,2
641,641,426,2018-02-23,,21552,1
642,642,56,2016-10-05,,12983,3
643,643,440,2021-12-23,,25560,3
644,644,50,2017-04-21,3,7604,2
645,645,357,2018-01-03,1,27750,5
646,646,313,2017-11-12,,16055,2
647,647,295,2021-07-13,,8469,5
648,648,194,2017-11-19,,13682,4
649,649,101,2022-11-21,,27770,5
650,650,497,2017-06-25,15,3797,5
651,651,279,2017-11-13,,11781,4
652,652,391,2018-10-24,,16077,4
653,653,102,2020-06-24,,14135,5
654,654,254,2019-03-01,,18225,3
655,655,362,2018-12-12,,29627,5
656,656,389,2022-02-03,16,15992,4
657,657,402,2019-11-10,,796,5
658,658,333,2018-12-30,7,21125,2
659,659,274,2018-08-12,,30897,2
660,660,219,2020-08-24,,16654,2
661,661,42,2016-02-02,16,11208,4
662,662,393,2019-12-28,7,18691,4
663,663,30,2020-07-16,,2172,4
664,664,183,2022-03-30,,17798,5
665,665,454,2019-09-25,,16007,1
666,666,429,2019-04-06,,32454,5
667,667,206,2020-03-15,,19754,2
668,668,315,2019-07-14,,34203,4
669,669,423,2016-08-07,,22851,5
670,670,122,2021-05-29,9,20714,2
671,671,262,2018-10-18,,11515,1
672,672,368,2022-08-06,,5295,3
673,673,55,2016-04-25,,7013,5
674,674,189,2022-07-28,,15399,5
675,675,407,2016-11-30,6,11375,5
676,676,67,2018-06-16,13,26207,3
677,677,314,2016-05-16,,14608,5
678,678,105,2017-02-06,2,1891,4
679,679,406,2020-01-12,,3752,5
680,680,409,2019-07-16,,1312,2
681,681,410,2016-08-24,14,6286,4
682,682,12,2020-01-24,,17518,5
683,683,207,2016-08-01,,25708,1
684,684,240,2017-08-26,14,16766,4
685,685,262,2022-11-02,5,25741,4
686,686,48,2022-07-07,4,13122,5
687,687,182,2020-05-15,,5873,4
688,688,175,2019-08-08,,28879,5
689,689,398,2020-07-31,,15199,1
690,690,277,2022-10-11,,10944,5
691,691,492,2020-12-02,11,4194,3
692,692,162,2019-10-15,,3059,1
693,693,115,2022-02-17,,27506,1
694,694,287,2019-09-19,,17310,5
695,695,121,2020-04-11,,10064,3
696,696,114,2021-01-15,,3676,2
697,697,270,2017-11-03,5,7826,4
698,698,58,2017-02-21,,11706,2
699,699,364,2018-07-27,,23671,1
700,700,435,2016-02-26,,6910,1
701,701,497,2019-10-16,,14152,2
702,702,412,2020-02-19,,25364,1
703,703,198,2021-02-17,,3432,5
704,704,491,2019-02-01,16,19171,5
705,705,17,2021-10-17,,15953,1
706,706,4,2016-01-26,,13019,2
707,707,439,2017-10-17,,5179,4
708,708,61,2016-11-01,5,2626,4
709,709,144,2019-08-09,,19932,5
710,710,154,2019-09-07,8,30847,5
711,711,159,2022-12-12,,8846,4
712,712,217,2017-05-28,9,9405,1
713,713,72,2021-08-01,,1288,1
714,714,388,2019-03-30,,25224,4
715,715,132,2022-04-05,,22416,5
716,716,376,2020-10-05,,29308,4
717,717,261,2022-04-30,,5004,2
718,718,491,2019-05-20,9,24064,5
719,719,202,2022-01-10,,16033,3
720,720,167,2022-02-26,,30585,4
721,721,427,2021-06-30,,3467,2
722,722,241,2019-12-18,,21750,1
