return_id,order_id,product_id,return_date,reason,amount_refunded
90,22780,114,2021-02-02,Size doesn't fit,0.00
91,23171,367,2016-02-24,Size doesn't fit,0.00
92,25159,461,2017-03-13,Product damaged during shipping,0.00
93,22975,409,2018-02-11,Changed my mind,183.33
94,39170,143,2022-08-16,Product didn't meet expectations,0.00
95,40090,153,2018-09-27,Product didn't meet expectations,0.00
96,5126,69,2016-04-30,Item not as described,0.00
97,32226,22,2018-03-18,Changed my mind,0.00
98,3297,143,2018-08-01,Found a better deal,0.00
99,47459,353,2016-11-24,Color doesn't match,0.00
100,38981,485,2019-01-19,Size doesn't fit,0.00
101,22373,182,2019-07-13,Received wrong product,129.13
102,28251,437,2020-10-12,Size doesn't fit,0.00
103,24239,216,2021-09-21,Product didn't meet expectations,0.00
104,3368,450,2017-09-24,Received wrong product,0.00
105,24141,359,2018-10-17,Size doesn't fit,0.00
106,20498,448,2017-05-13,Ordered by mistake,577.24
107,24086,149,2016-11-30,Changed my mind,0.00
108,47166,99,2021-12-03,Ordered by mistake,0.00
109,44818,13,2020-08-13,Size doesn't fit,0.00
110,29730,409,2018-10-11,Ordered by mistake,0.00
111,31738,60,2019-05-21,Changed my mind,0.00
112,24466,289,2021-12-18,Received wrong product,212.35
113,43311,336,2019-04-05,Item not as described,0.00
114,34425,378,2022-03-15,Found a better deal,0.00
115,8438,384,2016-06-11,Defective product,0.00
116,21853,361,2017-11-03,Size doesn't fit,0.00
117,8582,295,2020-08-04,Defective product,0.00
118,7557,192,2016-12-06,Found a better deal,801.14
119,17611,286,2017-07-27,Ordered by mistake,0.00
120,1930,332,2017-02-26,Ordered by mistake,0.00
121,21764,434,2019-05-25,Ordered by mistake,633.17
122,47763,441,2019-11-08,Color doesn't match,298.17
123,24181,365,2018-08-20,Item not as described,0.00
124,13098,340,2017-12-15,Item not as described,421.62
125,10084,419,2019-03-06,Color doesn't match,0.00
126,7710,376,2016-12-28,Changed my mind,0.00
127,20995,248,2017-04-22,Defective product,0.00
128,10225,460,2017-06-28,Product damaged during shipping,285.75
129,30657,441,2022-05-20,Changed my mind,318.05
130,45612,122,2022-06-14,Changed my mind,0.00
131,28214,21,2018-01-16,Changed my mind,0.00
132,44590,431,2021-11-17,Defective product,0.00
133,16003,126,2016-12-20,Color doesn't match,0.00
134,32608,278,2017-05-28,Received wrong product,0.00
135,28867,158,2022-12-03,Ordered by mistake,0.00
136,31965,312,2019-12-30,Changed my mind,41.56
137,14470,411,2019-02-25,Defective product,0.00
138,37679,150,2016-02-02,Found a better deal,0.00
139,49107,418,2020-12-22,Color doesn't match,0.00
140,11317,67,2017-07-14,Found a better deal,39.02
141,10377,473,2016-04-16,Found a better deal,0.00
142,30425,191,2016-10-13,Color doesn't match,0.00
143,34966,270,2022-12-09,Changed my mind,204.98
144,38597,474,2016-09-30,Found a better deal,0.00
145,18104,376,2018-08-23,Product didn't meet expectations,0.00
146,32265,468,2016-09-19,Changed my mind,0.00
147,8651,235,2019-10-17,Color doesn't match,0.00
148,41715,490,2016-05-17,Changed my mind,128.03
149,22476,142,2022-06-02,Color doesn't match,1301.09
150,2244,210,2021-11-12,Product didn't meet expectations,560.50
151,48648,213,2021-09-19,Product damaged during shipping,318.70
152,43771,500,2022-06-21,Received wrong product,242.22
153,7713,208,2018-12-05,Found a better deal,267.25
154,13552,353,2017-03-03,Color doesn't match,0.00
155,22168,422,2019-02-20,Found a better deal,0.00
156,46005,331,2021-01-25,Product didn't meet expectations,0.00
157,41961,261,2020-04-07,Defective product,0.00
158,13247,78,2020-12-22,Changed my mind,0.00
159,42164,289,2021-05-18,Item not as described,315.49
160,11247,250,2019-04-10,Found a better deal,0.00
161,2676,230,2017-11-28,Defective product,0.00
162,29802,491,2017-06-21,Color doesn't match,1.33
163,19174,25,2019-08-18,Defective product,0.00
164,16021,30,2018-05-23,Item not as described,0.00
165,30679,324,2018-11-23,Color doesn't match,0.00
166,24541,182,2022-05-13,Defective product,0.00
167,26100,1,2022-08-31,Ordered by mistake,420.07
168,9931,97,2016-11-05,Defective product,0.00
169,23295,225,2017-07-14,Item not as described,26.10
170,14425,261,2020-12-29,Color doesn't match,590.46
171,36881,433,2018-04-17,Size doesn't fit,0.00
172,26257,248,2021-08-07,Color doesn't match,0.00
173,21509,39,2016-04-05,Product didn't meet expectations,0.00
174,40548,286,2018-08-17,Product damaged during shipping,0.00
175,29022,336,2021-07-06,Received wrong product,0.00
176,23609,299,2016-03-17,Defective product,0.00
177,9858,358,2019-01-29,Defective product,0.00
178,23070,359,2016-11-11,Received wrong product,572.14
179,48647,164,2022-01-26,Found a better deal,0.00
180,25565,43,2017-03-19,Item not as described,0.00
181,35530,322,2016-03-03,Changed my mind,0.00
182,46522,311,2019-06-15,Found a better deal,0.00
183,7290,291,2022-01-05,Defective product,405.01
184,18093,93,2017-08-24,Defective product,0.00
185,20718,439,2019-07-03,Changed my mind,0.00
186,12993,372,2019-05-17,Product didn't meet expectations,658.79
187,46891,474,2019-07-03,Item not as described,0.00
188,2019,430,2019-12-17,Item not as described,0.00
189,7209,291,2021-05-08,Product damaged during shipping,0.00
190,129,197,2019-06-19,Received wrong product,424.77
191,22521,172,2016-02-01,Product damaged during shipping,0.00
192,5283,163,2016-09-15,Defective product,247.47
193,23945,29,2017-04-18,Item not as described,0.00
194,8252,18,2017-05-25,Product didn't meet expectations,0.00
195,7031,209,2020-08-06,Changed my mind,0.00
196,7494,79,2022-05-09,Size doesn't fit,0.00
197,27924,66,2017-10-27,Color doesn't match,0.00
198,6703,313,2020-05-14,Product damaged during shipping,653.57
199,40174,120,2022-03-04,Item not as described,0.00
200,4985,46,2019-05-07,Size doesn't fit,0.00
201,10409,161,2022-03-28,Product didn't meet expectations,0.00
202,45732,415,2018-03-22,Color doesn't match,0.00
203,4408,482,2018-09-22,Ordered by mistake,0.00
204,19765,191,2019-01-10,Color doesn't match,29.87
205,16922,188,2022-05-25,Defective product,0.00
206,35938,438,2019-03-23,Ordered by mistake,0.00
207,28088,178,2020-08-12,Product didn't meet expectations,0.00
208,25135,462,2016-12-15,Item not as described,101.32
209,9591,308,2022-12-20,Product didn't meet expectations,0.00
210,23868,179,2016-05-04,Color doesn't match,0.00
211,27286,53,2022-03-30,Product didn't meet expectations,0.00
212,48527,90,2019-11-08,Received wrong product,78.21
213,49177,196,2017-12-11,Item not as described,10.58
214,6335,52,2017-04-10,Size doesn't fit,0.00
215,7325,445,2019-02-16,Ordered by mistake,0.00
216,29867,115,2016-04-28,Found a better deal,439.48
217,41118,379,2020-09-28,Ordered by mistake,0.00
218,15692,155,2020-06-17,Size doesn't fit,1217.85
219,35445,378,2020-03-08,Defective product,0.00
220,8409,481,2016-12-18,Changed my mind,0.00
221,15980,476,2022-10-17,Ordered by mistake,0.00
222,19396,423,2022-09-07,Color doesn't match,0.00
223,18148,306,2017-07-23,Product damaged during shipping,0.00
224,36935,453,2020-08-10,Size doesn't fit,0.00
225,14133,224,2021-11-20,Changed my mind,0.00
226,20322,279,2021-11-12,Changed my mind,2.73
227,28338,414,2021-03-04,Found a better deal,0.00
228,28612,458,2019-03-18,Product damaged during shipping,0.00
229,2228,187,2019-11-20,Color doesn't match,0.00
230,32675,267,2021-10-02,Ordered by mistake,0.00
231,36517,77,2022-08-14,Product damaged during shipping,0.00
232,34749,374,2017-05-31,Product damaged during shipping,701.59
233,19671,122,2018-09-27,Defective product,0.00
234,41495,344,2020-01-27,Product didn't meet expectations,0.00
235,37206,420,2021-03-05,Found a better deal,0.00
236,7266,213,2020-11-20,Ordered by mistake,0.00
237,23050,33,2018-01-05,Size doesn't fit,10.54
238,23591,427,2019-06-29,Defective product,1098.87
239,49032,246,2019-01-31,Product damaged during shipping,0.00
240,39925,325,2016-10-14,Received wrong product,0.00
241,45242,365,2017-04-12,Changed my mind,0.00
242,2716,302,2019-06-03,Received wrong product,0.00
243,28995,140,2020-05-04,Item not as described,0.00
244,18470,167,2021-05-18,Defective product,386.06
245,33509,97,2020-03-08,Product didn't meet expectations,0.00
246,12420,66,2022-01-07,Size doesn't fit,34.48
247,38465,441,2017-07-25,Item not as described,0.00
248,48105,149,2016-05-11,Received wrong product,0.00
249,26495,401,2018-04-26,Item not as described,732.43
250,43490,391,2017-04-22,Ordered by mistake,6.74
251,37369,423,2020-05-07,Changed my mind,0.00
252,2648,230,2017-12-20,Ordered by mistake,0.00
253,17954,332,2022-02-21,Defective product,0.00
254,14481,324,2019-09-14,Size doesn't fit,917.55
255,33625,403,2022-04-12,Found a better deal,0.00
256,30755,432,2017-08-15,Changed my mind,0.00
257,49923,35,2017-06-15,Changed my mind,0.00
258,42868,52,2016-11-30,Defective product,0.00
259,14226,216,2016-05-07,Changed my mind,0.00
260,2638,116,2018-01-25,Received wrong product,0.00
261,33382,168,2018-08-28,Found a better deal,54.68
262,28936,256,2019-06-28,Defective product,152.14
263,37786,134,2018-04-01,Received wrong product,0.00
264,12726,188,2020-06-16,Item not as described,1183.01
265,19555,151,2017-09-08,Size doesn't fit,0.00
266,489,363,2019-02-21,Ordered by mistake,0.00
267,6755,184,2022-11-27,Product didn't meet expectations,0.00
268,7931,372,2017-08-24,Color doesn't match,0.00
269,47876,144,2017-01-09,Found a better deal,501.07
270,9135,7,2019-09-05,Color doesn't match,0.00
271,4954,168,2018-12-23,Found a better deal,0.00
272,33087,275,2020-01-04,Product damaged during shipping,258.19
273,3932,488,2019-08-12,Color doesn't match,0.00
274,11726,267,2021-08-07,Defective product,0.00
275,2182,40,2019-01-30,Changed my mind,0.00
276,1140,277,2017-04-30,Product didn't meet expectations,0.00
277,44768,109,2020-07-06,Found a better deal,0.58
278,7032,111,2022-08-27,Found a better deal,0.00
279,776,298,2022-12-24,Defective product,0.00
280,10186,428,2020-11-09,Color doesn't match,0.00
281,28237,205,2017-11-14,Item not as described,0.00
282,22568,451,2022-08-20,Color doesn't match,0.00
283,13746,477,2020-07-15,Changed my mind,0.00
284,23864,184,2017-12-31,Found a better deal,87.42
285,7229,66,2022-04-21,Changed my mind,0.00
286,32749,294,2016-03-05,Item not as described,0.00
287,6534,182,2019-06-27,Defective product,63.16
288,29721,71,2017-01-10,Item not as described,261.99
289,48374,399,2019-01-15,Product didn't meet expectations,0.00
290,1492,348,2017-11-28,Product damaged during shipping,0.00
291,3634,482,2022-10-21,Ordered by mistake,0.00
292,27902,318,2021-01-24,Found a better deal,0.00
293,47161,231,2022-06-08,Size doesn't fit,0.00
294,16737,1,2016-02-23,Product didn't meet expectations,0.00
295,16056,377,2021-08-10,Size doesn't fit,0.00
296,13152,450,2018-12-24,Product didn't meet expectations,0.00
297,30547,428,2018-07-01,Found a better deal,0.00
298,28611,256,2016-03-08,Product damaged during shipping,0.00
299,8882,51,2022-06-29,Received wrong product,134.49
300,40921,235,2020-03-13,Item not as described,0.00
301,9017,448,2017-10-26,Product didn't meet expectations,0.00
302,14832,386,2018-09-28,Product damaged during shipping,0.00
303,24993,374,2016-10-26,Product didn't meet expectations,0.00
304,655,202,2018-12-17,Size doesn't fit,0.00
305,20256,79,2022-11-22,Ordered by mistake,0.00
306,49547,25,2019-07-22,Changed my mind,0.00
307,44302,160,2019-10-05,Size doesn't fit,0.00
308,39814,348,2020-09-19,Ordered by mistake,0.00
309,24171,443,2016-09-17,Size doesn't fit,796.21
310,19435,30,2017-11-05,Found a better deal,362.45
311,161,256,2017-12-06,Ordered by mistake,208.29
312,24745,271,2019-11-29,Product damaged during shipping,0.00
313,43585,376,2016-05-21,Product didn't meet expectations,374.64
314,39361,499,2018-03-04,Found a better deal,0.00
315,11641,303,2022-09-07,Received wrong product,0.00
316,19981,222,2020-09-21,Product damaged during shipping,0.00
317,1356,157,2022-06-15,Defective product,0.00
318,39585,68,2022-07-15,Color doesn't match,42.38
319,10974,398,2022-08-27,Item not as described,0.00
320,5364,366,2018-04-12,Product didn't meet expectations,0.00
321,9231,49,2022-02-24,Size doesn't fit,0.00
322,21157,105,2018-11-13,Item not as described,0.00
323,46199,172,2016-05-14,Product didn't meet expectations,0.00
324,22080,218,2016-09-22,Defective product,0.00
325,6147,141,2020-12-10,Product didn't meet expectations,104.48
326,49104,212,2022-08-17,Color doesn't match,0.00
327,30683,64,2020-09-13,Product damaged during shipping,0.00
328,5559,95,2022-04-17,Product damaged during shipping,0.00
329,29646,403,2017-05-22,Received wrong product,0.00
330,2267,451,2016-07-03,Changed my mind,0.00
331,5029,269,2022-06-04,Color doesn't match,1282.06
332,31110,478,2016-09-30,Product damaged during shipping,0.00
333,7197,324,2020-03-04,Size doesn't fit,0.00
334,46339,247,2020-06-21,Color doesn't match,148.31
335,49794,462,2018-04-01,Product didn't meet expectations,0.00
336,11005,12,2020-02-17,Color doesn't match,521.99
337,3510,46,2016-09-13,Item not as described,26.27
338,36623,302,2016-12-30,Changed my mind,0.00
339,5930,118,2017-10-15,Color doesn't match,0.00
340,30632,208,2016-04-13,Ordered by mistake,0.00
341,26287,292,2016-04-18,Product didn't meet expectations,0.00
342,4194,173,2020-09-26,Product didn't meet expectations,0.00
343,2400,76,2016-12-17,Product didn't meet expectations,0.00
344,48462,56,2020-07-18,Product didn't meet expectations,0.00
345,40465,412,2016-07-14,Color doesn't match,451.25
346,29774,489,2017-01-07,Color doesn't match,1506.85
347,18641,193,2021-01-17,Found a better deal,423.95
348,23132,2,2019-10-10,Found a better deal,0.00
349,8296,238,2016-08-29,Defective product,0.00
350,31637,158,2016-01-11,Defective product,0.00
351,9309,36,2022-10-27,Found a better deal,0.00
352,30887,84,2018-08-01,Size doesn't fit,0.00
353,20938,316,2017-02-04,Product didn't meet expectations,0.00
354,17398,331,2019-02-03,Color doesn't match,0.00
355,20531,338,2022-04-03,Color doesn't match,0.00
356,32308,164,2021-04-12,Size doesn't fit,0.00
357,20516,233,2017-05-12,Defective product,0.00
358,15976,189,2016-09-05,Item not as described,0.00
359,3303,48,2018-12-04,Ordered by mistake,545.80
360,48053,368,2020-07-22,Found a better deal,0.00
361,23595,82,2019-04-10,Changed my mind,0.00
362,31841,213,2017-06-25,Item not as described,637.39
363,18938,118,2017-04-29,Product damaged during shipping,355.31
364,2534,482,2021-03-18,Received wrong product,0.00
365,31174,134,2020-05-06,Product damaged during shipping,0.00
366,49944,198,2016-05-28,Product didn't meet expectations,0.00
367,22920,484,2022-11-03,Product didn't meet expectations,0.00
368,36310,175,2022-07-16,Size doesn't fit,6.52
369,11993,369,2018-09-12,Item not as described,155.97
370,20222,320,2017-02-22,Size doesn't fit,0.00
371,24243,247,2019-03-22,Received wrong product,0.00
372,27207,269,2019-02-20,Color doesn't match,0.00
373,14691,261,2016-09-18,Item not as described,0.00
374,14910,71,2016-08-03,Changed my mind,0.00
375,27149,47,2020-12-28,Ordered by mistake,285.24
376,10077,88,2020-10-23,Item not as described,0.00
377,20666,348,2016-04-14,Product damaged during shipping,0.00
378,15625,57,2017-01-03,Changed my mind,106.81
379,8176,43,2021-08-01,Defective product,0.00
380,9274,250,2019-04-25,Color doesn't match,1026.65
381,46567,166,2017-05-24,Found a better deal,0.00
382,7918,253,2016-01-20,Item not as described,0.00
383,20540,151,2017-02-19,Color doesn't match,0.00
384,22186,125,2021-01-17,Ordered by mistake,295.76
385,2491,362,2017-01-15,Size doesn't fit,94.22
386,2700,240,2020-12-02,Color doesn't match,966.84
387,29956,389,2017-01-31,Product damaged during shipping,0.00
388,26778,448,2017-04-27,Product damaged during shipping,1472.55
389,37793,187,2022-02-27,Product didn't meet expectations,0.00
390,49745,57,2018-05-10,Received wrong product,0.00
391,5935,405,2019-09-19,Product damaged during shipping,0.00
392,21735,398,2022-06-19,Item not as described,0.00
393,7211,216,2021-02-08,Received wrong product,839.12
394,26497,76,2017-04-16,Defective product,0.00
395,44199,311,2018-02-07,Received wrong product,220.30
396,43761,380,2018-01-23,Ordered by mistake,0.00
397,27065,478,2020-05-21,Product didn't meet expectations,0.00
398,34567,22,2018-05-06,Product didn't meet expectations,0.00
399,23253,3,2017-04-21,Item not as described,0.00
400,7911,270,2018-07-19,Size doesn't fit,0.00
401,9814,134,2016-10-31,Product didn't meet expectations,0.00
402,43554,206,2017-11-08,Changed my mind,41.86
403,31740,56,2021-12-22,Ordered by mistake,0.00
404,3314,155,2021-12-09,Found a better deal,1074.57
405,6148,132,2022-09-30,Defective product,0.00
406,5118,452,2017-01-20,Size doesn't fit,0.00
407,5927,479,2022-12-13,Product didn't meet expectations,135.10
408,4787,70,2022-06-29,Defective product,549.37
409,30719,296,2022-11-22,Defective product,0.00
410,5692,88,2021-01-02,Product damaged during shipping,101.60
411,13733,373,2016-04-28,Received wrong product,457.41
412,30923,455,2020-07-24,Found a better deal,0.00
413,9272,220,2022-02-22,Product damaged during shipping,0.00
414,25066,310,2019-07-13,Changed my mind,1102.77
415,5893,205,2022-09-05,Product damaged during shipping,0.00
416,32900,297,2020-10-10,Product didn't meet expectations,0.00
417,16233,480,2019-03-17,Item not as described,0.00
418,752,493,2019-01-19,Found a better deal,0.00
419,1251,217,2018-12-28,Changed my mind,0.00
420,37472,204,2020-04-17,Size doesn't fit,0.00
421,19695,250,2019-10-22,Product didn't meet expectations,0.00
422,5124,473,2020-02-04,Item not as described,575.77
423,38879,428,2019-04-19,Changed my mind,0.00
424,44352,372,2019-05-23,Changed my mind,0.00
425,31733,454,2021-11-22,Found a better deal,0.00
426,48506,127,2020-10-24,Received wrong product,0.00
427,40879,440,2022-01-16,Product didn't meet expectations,0.00
428,16911,354,2016-07-14,Found a better deal,716.97
429,13740,353,2017-08-24,Received wrong product,0.00
430,35794,206,2017-07-24,Defective product,0.00
431,11153,171,2021-02-04,Size doesn't fit,0.00
432,43896,438,2020-04-03,Product damaged during shipping,0.00
433,29587,372,2020-05-20,Size doesn't fit,0.00
434,1655,236,2016-10-31,Item not as described,0.00
435,10288,295,2021-10-24,Found a better deal,0.00
436,32077,454,2020-03-13,Product didn't meet expectations,0.00
437,19639,337,2020-08-08,Found a better deal,0.00
438,27920,23,2021-08-10,Ordered by mistake,0.00
439,33719,103,2019-12-13,Found a better deal,49.14
440,42826,109,2016-05-01,Size doesn't fit,0.00
441,29399,249,2020-05-24,Product didn't meet expectations,0.00
442,8316,274,2022-06-08,Size doesn't fit,0.00
443,8197,8,2019-09-30,Ordered by mistake,0.00
444,24344,247,2017-06-14,Product didn't meet expectations,0.00
445,38987,221,2016-01-08,Product didn't meet expectations,0.00
446,45618,309,2018-09-11,Product damaged during shipping,1526.86
447,22806,176,2020-11-19,Ordered by mistake,0.00
448,20015,51,2022-02-14,Color doesn't match,1344.92
449,33892,172,2019-12-28,Size doesn't fit,0.00
450,19496,34,2017-11-27,Product didn't meet expectations,0.00
451,44511,450,2021-12-12,Item not as described,181.94
452,20446,360,2018-09-30,Color doesn't match,0.00
453,23844,185,2021-12-14,Size doesn't fit,1517.64
454,8681,217,2020-11-13,Defective product,0.00
455,32789,440,2016-08-28,Found a better deal,590.24
456,19916,424,2022-11-12,Item not as described,91.21
457,49820,235,2017-09-21,Defective product,0.00
458,27833,100,2021-08-03,Size doesn't fit,0.00
459,21252,240,2020-03-16,Item not as described,0.00
460,41479,240,2017-12-23,Color doesn't match,0.00
461,22943,413,2022-02-13,Product didn't meet expectations,783.03
462,36400,130,2020-03-23,Color doesn't match,0.00
463,14737,388,2019-11-13,Size doesn't fit,0.00
464,20018,125,2019-09-14,Found a better deal,315.47
465,36529,236,2022-10-17,Size doesn't fit,0.00
466,32143,85,2017-12-23,Found a better deal,0.00
467,20505,237,2021-10-24,Changed my mind,0.00
468,37322,370,2017-09-30,Found a better deal,0.00
469,10636,45,2022-05-22,Item not as described,1305.08
470,26164,197,2019-08-02,Changed my mind,0.00
471,43254,64,2016-12-06,Defective product,343.47
472,1844,430,2019-07-23,Product didn't meet expectations,0.00
473,34238,11,2018-09-14,Product didn't meet expectations,268.60
474,49089,75,2021-02-25,Received wrong product,0.00
475,45485,341,2022-01-02,Changed my mind,0.00
476,6911,119,2017-02-27,Received wrong product,0.00
477,8942,492,2016-12-17,Color doesn't match,0.00
478,36943,289,2022-06-15,Received wrong product,0.00
479,20012,288,2019-07-25,Color doesn't match,0.00
480,45202,109,2022-03-29,Product didn't meet expectations,0.00
481,43218,308,2022-09-19,Found a better deal,0.00
482,32355,72,2018-10-19,Received wrong product,0.00
483,46529,493,2022-02-15,Changed my mind,654.78
484,22489,264,2018-09-19,Changed my mind,0.00
485,48738,122,2020-09-02,Found a better deal,0.00
486,8767,236,2017-12-02,Product damaged during shipping,0.00
487,8970,159,2021-06-13,Ordered by mistake,0.00
488,41871,134,2022-05-21,Changed my mind,0.00
489,1110,405,2019-08-21,Item not as described,0.00
490,29617,245,2018-07-15,Changed my mind,319.88
491,31616,158,2016-07-21,Product didn't meet expectations,0.00
492,34012,475,2016-06-22,Ordered by mistake,405.91
493,34304,459,2017-06-07,Defective product,0.00
494,27852,409,2021-05-26,Defective product,0.00
495,30326,141,2022-06-09,Product didn't meet expectations,0.00
496,45260,429,2018-05-16,Found a better deal,1319.48
497,31792,49,2020-05-22,Item not as described,0.00
498,13453,63,2016-02-21,Ordered by mistake,0.00
499,41683,17,2022-03-24,Size doesn't fit,0.00
500,46541,100,2022-09-11,Product didn't meet expectations,0.00
501,35656,169,2017-08-24,Ordered by mistake,0.00
502,27879,440,2021-12-03,Size doesn't fit,0.00
503,12618,500,2021-08-01,Product didn't meet expectations,0.00
504,96,266,2019-12-06,Product didn't meet expectations,316.72
505,35786,95,2016-02-22,Received wrong product,0.00
506,33051,15,2022-11-08,Product damaged during shipping,552.11
507,39568,300,2021-07-15,Changed my mind,149.50
508,6531,226,2021-03-13,Changed my mind,0.00
509,3018,125,2022-11-04,Received wrong product,0.00
510,20972,217,2020-08-30,Size doesn't fit,0.00
511,12368,196,2021-01-21,Found a better deal,0.00
512,4707,314,2020-12-20,Product didn't meet expectations,0.00
513,6046,12,2020-02-24,Changed my mind,0.00
514,23269,267,2016-12-27,Defective product,0.00
515,18381,145,2020-09-27,Product damaged during shipping,0.00
516,3154,308,2016-12-23,Found a better deal,0.00
517,20428,265,2016-03-28,Item not as described,0.00
518,32183,77,2016-10-28,Defective product,0.00
519,48324,380,2021-01-18,Product didn't meet expectations,0.00
520,9742,239,2016-07-12,Product damaged during shipping,260.05
521,26020,68,2020-11-20,Changed my mind,0.00
522,22118,182,2022-06-21,Found a better deal,78.60
523,38911,164,2021-12-09,Ordered by mistake,305.71
524,14003,445,2016-07-12,Product didn't meet expectations,83.29
525,1944,151,2016-03-17,Received wrong product,0.00
526,12078,70,2017-04-09,Product damaged during shipping,0.00
527,42031,402,2019-09-19,Ordered by mistake,0.00
528,19393,350,2016-02-06,Size doesn't fit,184.73
529,3409,375,2018-12-04,Item not as described,199.90
530,32961,339,2020-03-29,Item not as described,0.00
531,22012,160,2017-05-02,Ordered by mistake,0.00
532,42458,133,2021-04-08,Color doesn't match,0.00
533,33058,426,2019-04-21,Defective product,210.41
534,47111,182,2022-11-26,Product didn't meet expectations,0.00
535,49364,29,2022-04-11,Changed my mind,0.00
536,9450,332,2016-05-05,Color doesn't match,0.00
537,16958,286,2018-09-29,Size doesn't fit,0.00
538,39164,241,2018-11-01,Defective product,0.00
