customerproductrating_id,customer_id,product_id,ratings,review,sentiment
5814,315,309,2.5,"Avoid this product, it''s a complete letdown.",bad
5815,134,261,2.0,"Cheaply made, fell apart after a short time.",bad
5816,258,60,3.5,"Fantastic purchase, exceeded my expectations.",good
5817,273,283,4.0,Impressed with the features and performance.,good
5818,481,212,1.0,Product didn't meet my expectations at all.,bad
5819,27,114,4.5,"Quality product, exactly as described.",good
5820,293,428,1.5,"Avoid this product, it''s a complete letdown.",bad
5821,435,196,4.0,"Outstanding product, I''m a happy customer.",good
5822,309,442,4.0,Couldn't be happier with my purchase.,good
5823,30,214,3.5,"Delivered on time, and the product is perfect.",good
5824,149,171,4.5,"Fantastic purchase, exceeded my expectations.",good
5825,484,365,4.0,Excellent product! Highly recommended.,good
5826,257,9,3.5,Great quality and value for money.,good
5827,171,388,4.0,Great quality and value for money.,good
5828,313,402,1.0,Product didn't meet my expectations at all.,bad
5829,357,137,2.0,Overpriced for the low quality.,bad
5830,243,244,4.5,"Top-notch quality, worth every penny.",good
5831,77,261,4.0,Excellent product! Highly recommended.,good
5832,376,400,3.0,"Not as advertised, very disappointed.",bad
5833,17,325,3.5,"Outstanding product, I''m a happy customer.",good
5834,180,131,2.0,Overpriced for the low quality.,bad
5835,187,430,2.0,"Not as advertised, very disappointed.",bad
5836,104,472,3.5,Very satisfied with the product. Will buy again.,good
5837,33,390,4.0,"Quality product, exactly as described.",good
5838,343,44,2.5,"Avoid this product, it''s a complete letdown.",bad
5839,386,206,4.5,"Outstanding product, I''m a happy customer.",good
5840,380,271,4.0,Excellent product! Highly recommended.,good
5841,326,312,4.0,"Top-notch quality, worth every penny.",good
5842,246,219,3.5,"Top-notch quality, worth every penny.",good
5843,428,416,4.0,Impressed with the features and performance.,good
5844,366,306,4.5,"Top-notch quality, worth every penny.",good
5845,115,384,4.0,Impressed with the features and performance.,good
5846,175,477,4.0,Great quality and value for money.,good
5847,288,409,2.5,"False advertising, don''t trust the product description.",bad
5848,297,54,1.0,"False advertising, don''t trust the product description.",bad
5849,1,47,3.0,"Very dissatisfied, regretting my purchase.",bad
5850,96,218,1.5,"Product arrived damaged, no response from customer service.",bad
5851,121,353,4.0,"Delivered on time, and the product is perfect.",good
5852,238,486,4.5,"Quality product, exactly as described.",good
5853,389,452,3.0,"Waste of money, poor quality.",bad
5854,10,262,3.5,Excellent product! Highly recommended.,good
5855,460,191,4.0,Excellent product! Highly recommended.,good
5856,91,373,3.5,Couldn't be happier with my purchase.,good
5857,437,5,4.5,Very satisfied with the product. Will buy again.,good
5858,343,423,4.5,"Outstanding product, I''m a happy customer.",good
5859,267,15,4.5,Impressed with the features and performance.,good
5860,359,15,1.5,"Terrible product, do not buy!",bad
5861,263,245,4.0,Excellent product! Highly recommended.,good
5862,315,194,2.0,"Avoid this product, it''s a complete letdown.",bad
5863,283,300,4.0,Very satisfied with the product. Will buy again.,good
5864,187,412,2.0,"Waste of money, poor quality.",bad
5865,275,29,1.0,Overpriced for the low quality.,bad
5866,458,253,2.0,"Terrible product, do not buy!",bad
5867,206,433,3.0,"Product arrived damaged, no response from customer service.",bad
5868,339,193,4.0,"Delivered on time, and the product is perfect.",good
5869,360,388,3.0,"False advertising, don''t trust the product description.",bad
5870,369,202,4.0,Excellent product! Highly recommended.,good
5871,148,178,3.5,Couldn't be happier with my purchase.,good
5872,298,420,4.0,Excellent product! Highly recommended.,good
5873,78,330,4.5,Great quality and value for money.,good
5874,179,132,1.5,Product didn't meet my expectations at all.,bad
5875,302,231,2.0,Product didn't meet my expectations at all.,bad
5876,470,42,4.0,"Fantastic purchase, exceeded my expectations.",good
5877,83,387,2.0,Product didn't meet my expectations at all.,bad
5878,450,102,2.0,"Terrible product, do not buy!",bad
5879,397,461,2.5,"False advertising, don''t trust the product description.",bad
5880,12,128,4.0,"Outstanding product, I''m a happy customer.",good
5881,140,266,2.0,Overpriced for the low quality.,bad
5882,26,242,3.5,"Quality product, exactly as described.",good
5883,233,88,2.5,"Avoid this product, it''s a complete letdown.",bad
5884,116,129,1.5,Product didn't meet my expectations at all.,bad
5885,370,7,3.0,"Avoid this product, it''s a complete letdown.",bad
5886,119,451,2.0,"Very dissatisfied, regretting my purchase.",bad
5887,165,95,1.5,"Product arrived damaged, no response from customer service.",bad
5888,195,488,3.5,"Outstanding product, I''m a happy customer.",good
5889,180,262,3.5,"Quality product, exactly as described.",good
5890,91,13,3.0,"Cheaply made, fell apart after a short time.",bad
5891,301,234,2.0,"Terrible product, do not buy!",bad
5892,346,34,1.5,"Avoid this product, it''s a complete letdown.",bad
5893,99,295,3.0,"Not as advertised, very disappointed.",bad
5894,455,1,4.5,Impressed with the features and performance.,good
5895,415,388,2.0,"Terrible product, do not buy!",bad
5896,207,181,4.5,"Fantastic purchase, exceeded my expectations.",good
5897,65,265,3.0,Overpriced for the low quality.,bad
5898,463,96,3.5,Very satisfied with the product. Will buy again.,good
5899,272,156,4.0,Very satisfied with the product. Will buy again.,good
5900,414,128,3.0,"Cheaply made, fell apart after a short time.",bad
5901,246,179,1.5,"Terrible product, do not buy!",bad
5902,399,158,1.0,"Not as advertised, very disappointed.",bad
5903,139,209,1.0,"False advertising, don''t trust the product description.",bad
5904,278,382,1.5,Product didn't meet my expectations at all.,bad
5905,479,345,2.0,"Very dissatisfied, regretting my purchase.",bad
5906,145,158,1.0,"Very dissatisfied, regretting my purchase.",bad
5907,219,61,4.0,"Top-notch quality, worth every penny.",good
5908,459,308,2.5,"Waste of money, poor quality.",bad
5909,479,474,3.5,Very satisfied with the product. Will buy again.,good
5910,435,2,3.5,Couldn't be happier with my purchase.,good
5911,213,243,2.5,"False advertising, don''t trust the product description.",bad
5912,45,308,2.0,"Product arrived damaged, no response from customer service.",bad
5913,15,354,4.5,"Fantastic purchase, exceeded my expectations.",good
5914,254,498,4.0,"Top-notch quality, worth every penny.",good
5915,40,453,3.5,Impressed with the features and performance.,good
5916,3,93,3.0,"Cheaply made, fell apart after a short time.",bad
5917,73,486,4.5,"Top-notch quality, worth every penny.",good
5918,191,470,4.5,Impressed with the features and performance.,good
5919,449,328,3.5,"Top-notch quality, worth every penny.",good
5920,378,195,4.0,Great quality and value for money.,good
5921,118,20,1.5,"Not as advertised, very disappointed.",bad
5922,249,342,4.5,Couldn't be happier with my purchase.,good
5923,11,182,2.5,"Very dissatisfied, regretting my purchase.",bad
5924,277,282,1.5,Overpriced for the low quality.,bad
5925,482,43,2.0,Product didn't meet my expectations at all.,bad
5926,214,140,3.0,"Product arrived damaged, no response from customer service.",bad
5927,277,294,1.0,Product didn't meet my expectations at all.,bad
5928,441,7,2.0,"Terrible product, do not buy!",bad
5929,210,134,1.5,"False advertising, don''t trust the product description.",bad
5930,463,487,4.5,"Top-notch quality, worth every penny.",good
5931,45,238,3.5,"Quality product, exactly as described.",good
5932,495,383,2.0,"Not as advertised, very disappointed.",bad
5933,51,147,1.5,"Not as advertised, very disappointed.",bad
5934,11,290,2.5,"Very dissatisfied, regretting my purchase.",bad
5935,303,38,4.0,"Quality product, exactly as described.",good
5936,135,244,4.5,"Delivered on time, and the product is perfect.",good
5937,101,171,1.5,Product didn't meet my expectations at all.,bad
5938,497,316,4.0,Impressed with the features and performance.,good
5939,85,91,2.0,Product didn't meet my expectations at all.,bad
5940,7,377,2.0,Product didn't meet my expectations at all.,bad
5941,4,144,3.5,"Quality product, exactly as described.",good
5942,395,304,1.5,"Not as advertised, very disappointed.",bad
5943,73,127,1.5,"Product arrived damaged, no response from customer service.",bad
5944,290,429,3.0,"Not as advertised, very disappointed.",bad
5945,370,145,4.0,"Top-notch quality, worth every penny.",good
5946,365,72,4.5,"Fantastic purchase, exceeded my expectations.",good
5947,17,294,2.5,"Waste of money, poor quality.",bad
5948,78,441,1.5,Product didn't meet my expectations at all.,bad
5949,169,97,3.5,Very satisfied with the product. Will buy again.,good
5950,300,411,3.5,"Top-notch quality, worth every penny.",good
5951,489,313,3.5,Very satisfied with the product. Will buy again.,good
5952,390,195,4.5,"Fantastic purchase, exceeded my expectations.",good
5953,84,498,2.5,"Avoid this product, it''s a complete letdown.",bad
5954,291,133,4.0,"Fantastic purchase, exceeded my expectations.",good
5955,125,270,4.5,Couldn't be happier with my purchase.,good
5956,381,407,4.5,Great quality and value for money.,good
5957,29,38,4.0,Couldn't be happier with my purchase.,good
5958,422,360,4.0,Great quality and value for money.,good
5959,48,254,4.0,Excellent product! Highly recommended.,good
5960,302,397,4.0,"Delivered on time, and the product is perfect.",good
5961,263,327,4.5,Great quality and value for money.,good
5962,178,8,2.5,"Terrible product, do not buy!",bad
5963,261,47,4.5,Great quality and value for money.,good
5964,283,250,2.5,"Product arrived damaged, no response from customer service.",bad
5965,410,328,2.0,"Waste of money, poor quality.",bad
5966,19,229,1.5,"Waste of money, poor quality.",bad
5967,407,306,3.0,"Waste of money, poor quality.",bad
5968,360,29,4.0,Impressed with the features and performance.,good
5969,139,20,4.5,"Fantastic purchase, exceeded my expectations.",good
5970,417,494,2.5,"Not as advertised, very disappointed.",bad
5971,144,278,3.0,"False advertising, don''t trust the product description.",bad
5972,251,190,4.5,Great quality and value for money.,good
5973,165,79,3.5,"Fantastic purchase, exceeded my expectations.",good
5974,13,436,4.5,"Outstanding product, I''m a happy customer.",good
5975,5,106,4.5,"Quality product, exactly as described.",good
5976,230,382,2.0,"Avoid this product, it''s a complete letdown.",bad
5977,321,208,3.0,"Very dissatisfied, regretting my purchase.",bad
5978,77,98,1.0,"Terrible product, do not buy!",bad
5979,25,362,3.5,"Fantastic purchase, exceeded my expectations.",good
5980,85,3,3.0,"Avoid this product, it''s a complete letdown.",bad
5981,168,135,4.0,"Quality product, exactly as described.",good
5982,263,220,4.0,"Outstanding product, I''m a happy customer.",good
5983,298,13,2.0,"False advertising, don''t trust the product description.",bad
5984,481,72,1.0,"Terrible product, do not buy!",bad
5985,71,69,4.0,"Fantastic purchase, exceeded my expectations.",good
5986,47,270,3.5,"Top-notch quality, worth every penny.",good
5987,120,168,2.5,"Terrible product, do not buy!",bad
5988,385,344,3.0,"Terrible product, do not buy!",bad
5989,214,86,3.0,"Waste of money, poor quality.",bad
5990,157,275,4.5,Excellent product! Highly recommended.,good
5991,86,277,3.5,Very satisfied with the product. Will buy again.,good
5992,59,155,3.5,"Quality product, exactly as described.",good
5993,328,491,3.5,"Delivered on time, and the product is perfect.",good
5994,270,71,2.0,"Very dissatisfied, regretting my purchase.",bad
5995,41,363,4.0,"Top-notch quality, worth every penny.",good
5996,56,223,4.5,Impressed with the features and performance.,good
5997,404,493,4.0,Impressed with the features and performance.,good
5998,209,36,3.5,Great quality and value for money.,good
5999,463,30,4.5,"Outstanding product, I''m a happy customer.",good
6000,475,121,3.5,"Delivered on time, and the product is perfect.",good
6001,384,492,4.0,"Quality product, exactly as described.",good
6002,140,241,4.5,Excellent product! Highly recommended.,good
6003,293,263,2.0,"Very dissatisfied, regretting my purchase.",bad
6004,111,186,4.5,Great quality and value for money.,good
6005,217,183,2.5,"Product arrived damaged, no response from customer service.",bad
6006,175,80,1.5,"Not as advertised, very disappointed.",bad
6007,248,197,2.5,"False advertising, don''t trust the product description.",bad
6008,135,59,4.5,Very satisfied with the product. Will buy again.,good
6009,244,483,2.0,Overpriced for the low quality.,bad
6010,478,98,3.0,Product didn't meet my expectations at all.,bad
6011,70,476,1.5,Product didn't meet my expectations at all.,bad
6012,176,257,3.5,Great quality and value for money.,good
6013,445,87,4.5,"Fantastic purchase, exceeded my expectations.",good
6014,372,122,2.5,Overpriced for the low quality.,bad
6015,362,147,4.5,Great quality and value for money.,good
6016,388,359,4.5,"Delivered on time, and the product is perfect.",good
6017,80,368,2.5,"Very dissatisfied, regretting my purchase.",bad
6018,56,262,3.0,"Waste of money, poor quality.",bad
6019,380,224,3.0,"Terrible product, do not buy!",bad
6020,43,134,2.0,"Cheaply made, fell apart after a short time.",bad
6021,470,132,1.0,Overpriced for the low quality.,bad
6022,13,454,4.0,"Fantastic purchase, exceeded my expectations.",good
6023,261,313,4.0,Excellent product! Highly recommended.,good
6024,104,465,4.5,"Quality product, exactly as described.",good
6025,212,106,4.5,"Delivered on time, and the product is perfect.",good
6026,446,132,1.0,"Product arrived damaged, no response from customer service.",bad
6027,142,459,1.5,"Very dissatisfied, regretting my purchase.",bad
6028,192,179,4.0,Impressed with the features and performance.,good
6029,219,336,3.5,Great quality and value for money.,good
6030,101,227,1.5,Product didn't meet my expectations at all.,bad
6031,422,265,3.0,"Terrible product, do not buy!",bad
6032,46,421,1.0,"Avoid this product, it''s a complete letdown.",bad
6033,248,19,2.5,"Waste of money, poor quality.",bad
6034,391,19,2.5,"False advertising, don''t trust the product description.",bad
6035,443,128,3.5,"Delivered on time, and the product is perfect.",good
6036,69,250,4.5,Excellent product! Highly recommended.,good
6037,16,491,3.5,Couldn't be happier with my purchase.,good
6038,403,140,1.5,"Very dissatisfied, regretting my purchase.",bad
6039,327,116,2.5,"Cheaply made, fell apart after a short time.",bad
6040,200,116,4.0,Very satisfied with the product. Will buy again.,good
6041,108,201,3.0,"Avoid this product, it''s a complete letdown.",bad
6042,406,58,2.5,"Cheaply made, fell apart after a short time.",bad
6043,286,28,2.0,"Product arrived damaged, no response from customer service.",bad
6044,261,49,2.0,Overpriced for the low quality.,bad
6045,238,83,4.0,"Fantastic purchase, exceeded my expectations.",good
6046,343,247,2.5,"Waste of money, poor quality.",bad
6047,447,54,3.5,Great quality and value for money.,good
6048,230,424,3.5,"Top-notch quality, worth every penny.",good
6049,242,189,3.5,Great quality and value for money.,good
6050,63,170,4.5,Impressed with the features and performance.,good
6051,22,137,3.5,Couldn't be happier with my purchase.,good
6052,87,445,3.0,"Not as advertised, very disappointed.",bad
6053,38,71,3.5,Couldn't be happier with my purchase.,good
6054,484,18,4.5,Very satisfied with the product. Will buy again.,good
6055,176,492,4.0,Very satisfied with the product. Will buy again.,good
6056,34,384,4.5,Couldn't be happier with my purchase.,good
6057,53,168,2.0,Overpriced for the low quality.,bad
6058,114,394,2.5,"Very dissatisfied, regretting my purchase.",bad
6059,58,60,2.0,"Avoid this product, it''s a complete letdown.",bad
6060,310,427,3.5,"Outstanding product, I''m a happy customer.",good
6061,390,386,4.0,"Quality product, exactly as described.",good
6062,383,339,4.5,Couldn't be happier with my purchase.,good
6063,299,90,1.0,"Waste of money, poor quality.",bad
6064,249,452,2.5,"Cheaply made, fell apart after a short time.",bad
6065,73,482,3.5,Great quality and value for money.,good
6066,482,440,3.5,Couldn't be happier with my purchase.,good
6067,134,278,2.0,"Terrible product, do not buy!",bad
6068,475,93,2.0,Product didn't meet my expectations at all.,bad
6069,221,251,4.5,"Delivered on time, and the product is perfect.",good
6070,48,14,4.5,"Top-notch quality, worth every penny.",good
6071,135,138,2.0,"Waste of money, poor quality.",bad
6072,455,372,3.5,Couldn't be happier with my purchase.,good
6073,428,419,2.5,"Cheaply made, fell apart after a short time.",bad
6074,259,302,3.0,"Terrible product, do not buy!",bad
6075,248,328,2.0,"Cheaply made, fell apart after a short time.",bad
6076,130,211,4.5,Very satisfied with the product. Will buy again.,good
6077,53,260,3.0,"Waste of money, poor quality.",bad
6078,37,407,3.0,"Cheaply made, fell apart after a short time.",bad
6079,444,285,3.0,"Avoid this product, it''s a complete letdown.",bad
6080,369,186,3.5,Excellent product! Highly recommended.,good
6081,219,55,3.0,"False advertising, don''t trust the product description.",bad
6082,452,1,2.0,"Product arrived damaged, no response from customer service.",bad
6083,273,32,2.5,"Product arrived damaged, no response from customer service.",bad
6084,24,186,1.0,"Cheaply made, fell apart after a short time.",bad
6085,490,454,4.0,Impressed with the features and performance.,good
6086,245,53,3.5,Great quality and value for money.,good
6087,405,263,4.0,Very satisfied with the product. Will buy again.,good
6088,422,4,2.5,Overpriced for the low quality.,bad
6089,381,421,4.0,"Outstanding product, I''m a happy customer.",good
6090,1,289,4.0,"Top-notch quality, worth every penny.",good
6091,32,27,1.5,Overpriced for the low quality.,bad
6092,292,437,4.0,"Fantastic purchase, exceeded my expectations.",good
6093,54,128,4.5,"Fantastic purchase, exceeded my expectations.",good
6094,339,476,4.0,Excellent product! Highly recommended.,good
6095,371,223,4.0,"Fantastic purchase, exceeded my expectations.",good
6096,84,353,4.5,"Top-notch quality, worth every penny.",good
6097,448,274,1.0,"Cheaply made, fell apart after a short time.",bad
6098,5,454,4.0,Excellent product! Highly recommended.,good
6099,484,46,3.0,"Not as advertised, very disappointed.",bad
6100,213,305,4.0,Impressed with the features and performance.,good
6101,101,262,1.0,"False advertising, don''t trust the product description.",bad
6102,21,270,1.0,"Not as advertised, very disappointed.",bad
6103,370,132,4.5,"Fantastic purchase, exceeded my expectations.",good
6104,153,291,4.0,Great quality and value for money.,good
6105,242,6,4.5,Impressed with the features and performance.,good
6106,312,212,4.0,Very satisfied with the product. Will buy again.,good
6107,68,51,3.5,Couldn't be happier with my purchase.,good
6108,436,7,1.5,Product didn't meet my expectations at all.,bad
6109,128,488,2.5,"Not as advertised, very disappointed.",bad
6110,382,326,3.0,Overpriced for the low quality.,bad
6111,469,349,4.5,"Outstanding product, I''m a happy customer.",good
6112,19,264,1.0,"Not as advertised, very disappointed.",bad
6113,134,327,1.5,"Not as advertised, very disappointed.",bad
6114,409,90,1.5,"Not as advertised, very disappointed.",bad
6115,39,240,4.0,"Quality product, exactly as described.",good
6116,269,211,4.0,"Fantastic purchase, exceeded my expectations.",good
6117,172,140,2.5,"Terrible product, do not buy!",bad
6118,346,423,4.0,Very satisfied with the product. Will buy again.,good
6119,407,211,4.5,Excellent product! Highly recommended.,good
6120,452,396,3.5,"Quality product, exactly as described.",good
6121,177,387,1.5,Overpriced for the low quality.,bad
6122,120,400,2.5,"Waste of money, poor quality.",bad
6123,461,479,4.0,"Fantastic purchase, exceeded my expectations.",good
6124,165,343,4.0,"Delivered on time, and the product is perfect.",good
6125,178,24,3.5,Couldn't be happier with my purchase.,good
6126,250,324,3.5,"Fantastic purchase, exceeded my expectations.",good
6127,407,332,1.5,"Very dissatisfied, regretting my purchase.",bad
6128,337,484,4.0,Great quality and value for money.,good
6129,57,131,3.0,Overpriced for the low quality.,bad
6130,477,397,4.5,"Outstanding product, I''m a happy customer.",good
6131,239,385,1.0,"Cheaply made, fell apart after a short time.",bad
6132,429,150,4.5,Impressed with the features and performance.,good
6133,90,251,2.5,"Avoid this product, it''s a complete letdown.",bad
6134,402,57,2.0,"Terrible product, do not buy!",bad
6135,281,492,4.0,Very satisfied with the product. Will buy again.,good
6136,140,421,1.0,"Avoid this product, it''s a complete letdown.",bad
6137,230,264,2.5,"Cheaply made, fell apart after a short time.",bad
6138,483,227,3.5,"Quality product, exactly as described.",good
6139,268,418,1.5,"Not as advertised, very disappointed.",bad
6140,481,300,4.0,Excellent product! Highly recommended.,good
6141,331,78,2.5,"Waste of money, poor quality.",bad
6142,66,498,3.5,"Delivered on time, and the product is perfect.",good
6143,208,25,4.5,"Outstanding product, I''m a happy customer.",good
6144,181,445,1.0,"Not as advertised, very disappointed.",bad
6145,126,447,4.0,"Delivered on time, and the product is perfect.",good
6146,287,162,3.0,"Product arrived damaged, no response from customer service.",bad
6147,312,238,3.0,"False advertising, don''t trust the product description.",bad
6148,62,113,4.5,Excellent product! Highly recommended.,good
6149,316,434,3.5,Very satisfied with the product. Will buy again.,good
6150,95,340,4.0,Great quality and value for money.,good
6151,160,107,3.0,"Very dissatisfied, regretting my purchase.",bad
6152,219,242,2.5,"False advertising, don''t trust the product description.",bad
6153,476,21,1.0,"Cheaply made, fell apart after a short time.",bad
6154,316,54,4.0,Very satisfied with the product. Will buy again.,good
6155,124,36,4.0,"Outstanding product, I''m a happy customer.",good
6156,406,148,1.0,"Very dissatisfied, regretting my purchase.",bad
6157,163,256,4.5,"Fantastic purchase, exceeded my expectations.",good
6158,396,374,2.5,"Waste of money, poor quality.",bad
6159,338,262,1.0,"Product arrived damaged, no response from customer service.",bad
6160,11,170,1.0,"Waste of money, poor quality.",bad
6161,395,325,3.5,Couldn't be happier with my purchase.,good
6162,236,78,4.0,Great quality and value for money.,good
6163,210,15,4.0,Excellent product! Highly recommended.,good
6164,146,10,4.5,Impressed with the features and performance.,good
6165,447,467,1.0,Product didn't meet my expectations at all.,bad
6166,107,390,4.0,Couldn't be happier with my purchase.,good
6167,387,4,4.5,Very satisfied with the product. Will buy again.,good
6168,478,456,3.0,"Very dissatisfied, regretting my purchase.",bad
6169,219,370,2.5,"Not as advertised, very disappointed.",bad
6170,238,220,4.5,Impressed with the features and performance.,good
6171,72,108,4.5,"Top-notch quality, worth every penny.",good
6172,435,182,2.5,"Very dissatisfied, regretting my purchase.",bad
6173,410,373,2.0,"Very dissatisfied, regretting my purchase.",bad
6174,22,53,3.5,Great quality and value for money.,good
6175,242,276,3.0,"False advertising, don''t trust the product description.",bad
6176,200,499,4.0,"Fantastic purchase, exceeded my expectations.",good
6177,181,224,2.5,"Terrible product, do not buy!",bad
6178,397,85,3.5,Very satisfied with the product. Will buy again.,good
6179,315,160,2.5,"Not as advertised, very disappointed.",bad
6180,118,217,4.5,"Top-notch quality, worth every penny.",good
6181,443,279,1.5,"Cheaply made, fell apart after a short time.",bad
6182,239,179,1.0,"Not as advertised, very disappointed.",bad
6183,50,22,2.5,"Waste of money, poor quality.",bad
6184,275,151,3.5,Impressed with the features and performance.,good
6185,199,490,3.5,Very satisfied with the product. Will buy again.,good
6186,337,281,4.5,Impressed with the features and performance.,good
6187,203,186,3.5,Great quality and value for money.,good
6188,430,308,4.0,Excellent product! Highly recommended.,good
6189,26,99,2.0,Overpriced for the low quality.,bad
6190,191,435,1.0,"Product arrived damaged, no response from customer service.",bad
6191,87,288,2.0,"Not as advertised, very disappointed.",bad
6192,426,480,4.5,Couldn't be happier with my purchase.,good
6193,218,174,3.5,Impressed with the features and performance.,good
6194,125,245,3.5,Couldn't be happier with my purchase.,good
6195,191,286,4.5,Impressed with the features and performance.,good
6196,217,227,4.0,"Top-notch quality, worth every penny.",good
6197,159,350,3.0,"Product arrived damaged, no response from customer service.",bad
6198,379,337,1.5,"Avoid this product, it''s a complete letdown.",bad
6199,344,460,4.0,Great quality and value for money.,good
6200,434,429,4.0,"Outstanding product, I''m a happy customer.",good
6201,337,402,4.0,Very satisfied with the product. Will buy again.,good
6202,83,173,4.0,"Top-notch quality, worth every penny.",good
6203,402,425,3.5,"Outstanding product, I''m a happy customer.",good
6204,311,164,1.0,"Cheaply made, fell apart after a short time.",bad
6205,360,244,4.0,"Top-notch quality, worth every penny.",good
6206,406,358,2.0,"Not as advertised, very disappointed.",bad
6207,318,399,4.5,Couldn't be happier with my purchase.,good
6208,305,138,3.5,"Fantastic purchase, exceeded my expectations.",good
6209,59,371,4.0,Great quality and value for money.,good
6210,109,65,2.0,"Not as advertised, very disappointed.",bad
6211,110,237,4.0,"Delivered on time, and the product is perfect.",good
6212,6,104,3.5,"Delivered on time, and the product is perfect.",good
6213,367,386,3.0,Product didn't meet my expectations at all.,bad
6214,129,50,2.5,"Very dissatisfied, regretting my purchase.",bad
6215,471,407,3.5,"Fantastic purchase, exceeded my expectations.",good
6216,141,163,1.0,"Waste of money, poor quality.",bad
6217,238,97,2.5,"False advertising, don''t trust the product description.",bad
6218,11,63,1.0,"Very dissatisfied, regretting my purchase.",bad
6219,454,264,1.5,"Product arrived damaged, no response from customer service.",bad
6220,103,325,1.5,"Cheaply made, fell apart after a short time.",bad
6221,346,190,2.5,Product didn't meet my expectations at all.,bad
6222,413,404,2.5,"Waste of money, poor quality.",bad
6223,280,54,4.5,"Fantastic purchase, exceeded my expectations.",good
6224,268,424,1.0,"Very dissatisfied, regretting my purchase.",bad
6225,302,292,2.5,"Terrible product, do not buy!",bad
6226,412,482,1.5,"Terrible product, do not buy!",bad
6227,247,258,3.5,"Top-notch quality, worth every penny.",good
6228,284,299,1.0,"Terrible product, do not buy!",bad
6229,280,139,4.5,Impressed with the features and performance.,good
6230,262,488,4.5,"Delivered on time, and the product is perfect.",good
6231,8,421,4.5,Excellent product! Highly recommended.,good
6232,95,20,3.0,"Very dissatisfied, regretting my purchase.",bad
6233,54,398,3.0,"False advertising, don''t trust the product description.",bad
6234,334,254,4.5,Excellent product! Highly recommended.,good
6235,281,190,4.5,"Delivered on time, and the product is perfect.",good
6236,57,496,2.0,"Cheaply made, fell apart after a short time.",bad
6237,389,359,4.0,Impressed with the features and performance.,good
6238,417,303,4.0,"Quality product, exactly as described.",good
6239,295,323,1.5,"Cheaply made, fell apart after a short time.",bad
6240,11,446,4.0,Couldn't be happier with my purchase.,good
6241,224,248,1.0,"Not as advertised, very disappointed.",bad
6242,494,450,1.0,"Terrible product, do not buy!",bad
6243,479,253,4.5,Excellent product! Highly recommended.,good
